
2024/02/21 (17:28:03) | ===> btop++ v.1.3.2
2024/02/21 (17:28:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (17:29:35) | ===> btop++ v.1.3.2
2024/02/21 (17:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (21:00:23) | ===> btop++ v.1.3.2
2024/02/21 (21:00:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/21 (21:01:47) | ===> btop++ v.1.3.2
2024/02/21 (21:01:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (11:55:06) | ===> btop++ v.1.3.2
2024/02/22 (11:55:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/22 (11:56:38) | ===> btop++ v.1.3.2
2024/02/22 (11:56:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (15:26:57) | ===> btop++ v.1.3.2
2024/02/23 (15:26:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/23 (15:29:29) | ===> btop++ v.1.3.2
2024/02/23 (15:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (15:02:52) | ===> btop++ v.1.3.2
2024/02/25 (15:02:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (23:03:26) | ===> btop++ v.1.3.2
2024/02/26 (23:03:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (13:15:46) | ===> btop++ v.1.3.2
2024/02/27 (13:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (13:28:37) | ===> btop++ v.1.3.2
2024/02/27 (13:28:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (13:29:02) | ===> btop++ v.1.3.2
2024/02/27 (13:29:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/27 (21:07:04) | ===> btop++ v.1.3.2
2024/02/27 (21:07:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (13:19:26) | ===> btop++ v.1.3.2
2024/02/28 (13:19:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/03 (11:53:05) | ===> btop++ v.1.3.2
2024/03/03 (11:53:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/07 (23:45:01) | ===> btop++ v.1.3.2
2024/03/07 (23:45:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/11 (16:01:38) | ===> btop++ v.1.3.2
2024/03/11 (16:01:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/14 (22:44:07) | ===> btop++ v.1.3.2
2024/03/14 (22:44:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/16 (11:49:46) | ===> btop++ v.1.3.2
2024/03/16 (11:49:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/25 (00:14:13) | ===> btop++ v.1.3.2
2024/03/25 (00:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (16:23:47) | ===> btop++ v.1.3.2
2024/07/04 (16:23:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/04 (17:08:32) | ===> btop++ v.1.3.2
2024/08/04 (17:08:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/04 (17:10:05) | INFO: Logger set to INFO
2024/08/04 (17:10:06) | INFO: Logger set to DEBUG

2024/08/10 (17:18:42) | ===> btop++ v.1.3.2
2024/08/10 (17:18:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (17:18:54) | ===> btop++ v.1.3.2
2024/08/10 (17:18:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/10 (17:26:14) | ===> btop++ v.1.3.2
2024/08/10 (17:26:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
